elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,5471,3747,2775,1909,
200000,9044,5846,6093,4042,
300000,12916,8321,9240,6799,
400000,17967,10525,12166,8406,
500000,25560,13592,13704,11522,
600000,27645,15404,17052,11596,
700000,32240,20732,20622,13475,
800000,35809,22772,20206,19010,
900000,46500,25474,19295,18225,
1000000,47002,28117,21604,26042,
