elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,6228,5013,3121,2486,
200000,11927,7671,6408,4714,
300000,17946,12450,11269,7071,
400000,20495,16942,14668,9874,
500000,25863,20949,18154,13378,
600000,31439,25790,25472,17565,
700000,37586,27483,27863,19726,
800000,40801,34565,30418,22973,
900000,46132,38996,33970,25159,
1000000,50825,47734,36253,27361,
