elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,7450,5527,3269,2965,
200000,14604,6730,6319,5875,
300000,18346,10058,12106,7583,
400000,34838,15604,14618,9992,
500000,35777,21494,16839,13711,
600000,38323,26316,24923,16293,
700000,48183,26602,26817,20853,
800000,49668,31821,29312,25326,
900000,63411,38077,31567,27629,
1000000,58724,42427,35270,29424,
