elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,6290,4819,4555,4627,
200000,13361,9643,11025,8525,
300000,19812,15162,19888,15390,
400000,29944,20277,24600,19387,
500000,40416,31861,29860,23737,
600000,56753,38733,42529,25986,
700000,68377,36947,44968,27989,
800000,73783,55752,53150,32155,
900000,84330,71823,53647,38784,
1000000,99479,76170,60265,47668,
