elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,113623,112346,123652,42433,
200000,217886,257657,239075,84449,
300000,339469,362849,427938,124208,
400000,457031,510621,634071,186583,
500000,554646,602321,494942,231730,
600000,657943,709516,1.25796e+06,278236,
700000,961165,858504,1.30938e+06,313940,
800000,1.06426e+06,1.02235e+06,1.18294e+06,367485,
900000,1.2578e+06,1.30275e+06,1.07468e+06,465631,
1000000,1.56154e+06,1.53296e+06,1.26811e+06,552856,
