elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,7587,5060,4391,3206,
200000,14162,11915,10386,6358,
300000,25541,16262,19395,11271,
400000,30159,20363,22073,16550,
500000,38495,24554,30207,20082,
600000,59279,30641,47283,27412,
700000,71582,34301,52101,29028,
800000,76008,52174,52130,30089,
900000,87714,61350,53363,35037,
1000000,87417,70684,60154,38755,
