elements,std::list,std::deque,
100000,9604,6291,
200000,16593,10747,
300000,29649,15522,
400000,40378,21893,
500000,44016,26827,
600000,47695,37846,
700000,62310,38027,
800000,66465,41577,
900000,70224,48660,
1000000,84633,54696,
