elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,6031,2832,2050,2278,
200000,10646,4604,4328,5115,
300000,12576,6009,6293,7228,
400000,17456,10319,8460,10231,
500000,21229,13034,10546,10366,
600000,25499,15426,12674,12193,
700000,30793,18127,14969,15279,
800000,34870,21143,16117,17684,
900000,39278,19540,21744,18380,
1000000,42375,21120,24430,21028,
