elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,4459,5997,2994,2525,
200000,9935,7539,6806,5091,
300000,16904,11586,12599,7812,
400000,25296,13988,14736,10205,
500000,29827,20769,20295,13011,
600000,29788,23031,30689,20116,
700000,36154,27311,34377,25417,
800000,42733,33066,32347,26564,
900000,47006,37662,33565,26003,
1000000,53557,42191,38278,28327,
