elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,118665,115083,132149,43231,
200000,234501,253213,228912,83734,
300000,350655,355626,472910,123577,
400000,543425,478371,650531,185757,
500000,623094,604741,522107,217220,
600000,891284,697433,1.39163e+06,255259,
700000,888790,1.07254e+06,1.36328e+06,349277,
800000,1.01844e+06,1.0868e+06,1.31799e+06,528672,
900000,1.3748e+06,1.11132e+06,1.13674e+06,564093,
1000000,1.51732e+06,1.40319e+06,1.32529e+06,665152,
