elements,std::list,std::deque,std::vector,
1000,13758,9635,8978,
2000,44884,36341,36392,
3000,100445,81238,81697,
4000,177391,147605,147152,
5000,289163,251792,243726,
6000,403765,339420,324488,
7000,562357,470704,463719,
8000,721492,618969,600002,
9000,918486,790058,751349,
10000,1.16251e+06,924434,926174,
