elements,std::list,std::deque,std::vector,
1000,18802,16310,15049,
2000,74830,67243,55646,
3000,159719,170542,123780,
4000,262337,257591,247113,
5000,454511,420079,369750,
6000,633122,556549,541522,
7000,1.00166e+06,814646,722839,
8000,1.64911e+06,1.0478e+06,949625,
9000,2.04745e+06,1.33717e+06,1.23356e+06,
10000,1.96869e+06,1.6091e+06,1.82199e+06,
