elements,std::list,std::deque,std::vector,
1000,23855,25544,22054,
2000,93977,101380,89956,
3000,229779,231467,223395,
4000,399708,448407,380104,
5000,638970,667853,615157,
6000,918928,971838,875043,
7000,1.26079e+06,1.35047e+06,1.21686e+06,
8000,1.75988e+06,1.78941e+06,1.53583e+06,
9000,2.27641e+06,2.32143e+06,1.96978e+06,
10000,2.81988e+06,2.91303e+06,2.44711e+06,
