elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,103953,118865,154599,56581,
200000,206938,248913,281926,89689,
300000,327470,418797,456431,147317,
400000,465003,587445,475860,167340,
500000,574558,787414,573626,297853,
600000,727832,823899,1.33015e+06,333119,
700000,1.09909e+06,1.19085e+06,1.28106e+06,330681,
800000,962254,958306,1.05206e+06,461915,
900000,1.52142e+06,1.27723e+06,1.45958e+06,421182,
1000000,1.54823e+06,1.41727e+06,1.49877e+06,581599,
