elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,6384,5901,3253,2894,
200000,12780,6954,6526,4917,
300000,19015,9577,12349,7760,
400000,23703,14888,14996,9928,
500000,35820,17307,21712,12151,
600000,36737,24396,30853,20223,
700000,45163,35657,29230,20277,
800000,49040,38858,29710,22225,
900000,56060,40944,31901,26174,
1000000,60520,46449,38644,28133,
