elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,7742,4980,6710,2807,
200000,13515,6819,9534,6028,
300000,23382,10246,16987,8119,
400000,29424,14221,20010,10233,
500000,39087,15532,24051,15707,
600000,46656,18911,36007,16659,
700000,51276,22547,41297,18848,
800000,56490,27115,44475,21184,
900000,59825,29827,50146,28706,
1000000,70785,35068,45932,30910,
