elements,std::list,std::deque,std::vector,"preallocated std::vector",
100000,7302,3756,2639,3027,
200000,12272,4893,4837,5714,
300000,16473,6932,6681,6541,
400000,22377,9471,8432,8152,
500000,27886,12003,11146,9824,
600000,40948,13068,14055,11906,
700000,46954,15008,18528,14151,
800000,48608,18975,22553,16840,
900000,50334,19791,23094,18504,
1000000,58442,23612,26029,20918,
