elements,std::list,std::deque,std::vector,
10000,5296,14368,13128,
20000,11245,29515,26330,
30000,20747,54973,47549,
40000,28573,70188,61867,
50000,30408,86625,74746,
60000,39574,107051,107024,
70000,47413,138175,118710,
80000,52096,155856,132883,
90000,61315,178564,155072,
100000,74880,202217,182757,
