elements,std::list,std::deque,std::vector,
10000,4170,10282,7587,
20000,7678,17952,16751,
30000,12085,28628,24235,
40000,18846,38720,35814,
50000,21427,51525,46363,
60000,34653,65017,53707,
70000,44845,72303,63154,
80000,39692,90806,73255,
90000,55771,106880,89956,
100000,58530,117954,104944,
