elements,std::list,std::deque,std::vector,
10000,4016,9952,9196,
20000,7836,20658,17801,
30000,12187,33608,26761,
40000,17596,43713,36382,
50000,23429,56299,45894,
60000,28076,72217,55389,
70000,47427,81305,68893,
80000,43125,104735,80896,
90000,49940,109005,97294,
100000,62221,129266,103063,
