elements,std::list,std::deque,std::vector,
10000,4430,9375,7852,
20000,7646,18651,17256,
30000,12252,29405,25646,
40000,16400,40004,33523,
50000,21460,52734,40202,
60000,30571,66608,54671,
70000,34322,79509,69030,
80000,38425,80123,90173,
90000,39893,98139,87618,
100000,48270,103137,103874,
