elements,std::list,std::deque,std::vector,
10000,4234,15321,14337,
20000,10087,34217,33200,
30000,19501,56846,49172,
40000,26508,73525,65405,
50000,32478,90395,83640,
60000,41499,109723,111279,
70000,45909,141636,127607,
80000,51774,173660,142935,
90000,49993,182659,158990,
100000,65660,214741,191769,
