elements,std::list,std::deque,std::vector,
10000,4074,15144,14553,
20000,9219,30735,28400,
30000,17561,47255,43801,
40000,25032,64740,61033,
50000,29372,91063,82891,
60000,37916,104791,93010,
70000,45434,118952,118946,
80000,49192,137748,124963,
90000,53283,166659,147974,
100000,57207,179015,157823,
