elements,std::list,std::deque,std::vector,
10000,4157,11215,8349,
20000,8177,21049,17682,
30000,13826,28606,29652,
40000,21265,41034,39910,
50000,26859,49491,41530,
60000,31327,67182,51320,
70000,37665,71841,67965,
80000,43029,82431,71898,
90000,52373,93989,79395,
100000,62167,106455,94318,
