elements,std::list,std::deque,std::vector,
10000,179271,106274,96237,
20000,316886,231046,205431,
30000,451543,328500,330845,
40000,549031,523022,416235,
50000,713711,651808,542662,
60000,794900,705572,651673,
70000,906419,839668,759032,
80000,1.11975e+06,1.03805e+06,869957,
90000,1.19749e+06,1.19947e+06,990440,
100000,1.31381e+06,1.21833e+06,1.08258e+06,
