elements,std::list,std::deque,std::vector,
10000,182712,167686,130702,
20000,372137,349080,243455,
30000,663712,551681,365806,
40000,865579,739588,532956,
50000,1.13356e+06,925272,665764,
60000,1.4446e+06,1.15216e+06,822936,
70000,1.86043e+06,1.31862e+06,905226,
80000,2.35522e+06,1.52629e+06,961361,
90000,2.86654e+06,1.76153e+06,1.19219e+06,
100000,3.59362e+06,1.8863e+06,1.32093e+06,
