elements,std::list,std::deque,std::vector,
10000,299974,431050,386949,
20000,768485,1.25193e+06,1.27602e+06,
30000,1.3953e+06,2.20004e+06,2.38064e+06,
40000,1.94299e+06,3.12486e+06,3.21648e+06,
50000,2.47623e+06,3.9291e+06,4.04516e+06,
60000,3.12108e+06,5.03371e+06,5.46453e+06,
70000,3.61558e+06,5.73289e+06,6.44452e+06,
80000,4.21545e+06,6.69277e+06,7.03953e+06,
90000,4.84786e+06,7.50233e+06,8.14653e+06,
100000,5.05726e+06,8.40657e+06,8.73639e+06,
