elements,std::list,std::deque,std::vector,
10000,109104,89318,92272,
20000,241204,184432,197101,
30000,353552,289262,282942,
40000,461708,384762,403129,
50000,596720,498478,493406,
60000,719636,580047,587641,
70000,844394,679245,693565,
80000,980930,798290,799672,
90000,1.07521e+06,883319,902055,
100000,1.2205e+06,1.00212e+06,985267,
