elements,std::list,std::deque,std::vector,
100000,6742,5932,3,
200000,14028,11965,6,
300000,27280,20845,3,
400000,34876,31470,3,
500000,48416,40961,3,
600000,56293,44743,4,
700000,62049,52880,3,
800000,89310,61364,3,
900000,82399,69989,3,
1000000,92417,77173,3,
