elements,std::list,std::deque,std::vector,
100000,6126,1207,1,
200000,14148,2341,4,
300000,19644,4425,1,
400000,23988,6099,3,
500000,32249,8762,5,
600000,42763,8763,3,
700000,44709,12048,4,
800000,49753,14810,4,
900000,56934,17931,4,
1000000,62973,18096,4,
