elements,std::deque,std::vector,std::list,
10000,3.40859e+06,5.06531e+06,609856,
20000,1.88732e+07,3.00682e+07,2.56617e+06,
30000,4.9478e+07,7.52026e+07,6.60518e+06,
40000,9.65029e+07,1.40295e+08,1.3133e+07,
50000,1.6067e+08,2.25229e+08,2.37291e+07,
60000,2.40505e+08,3.31422e+08,3.9926e+07,
70000,3.40601e+08,4.53791e+08,6.11812e+07,
80000,4.54219e+08,6.00822e+08,9.07073e+07,
90000,5.88845e+08,7.80823e+08,1.29642e+08,
100000,7.3969e+08,1.02101e+09,1.51767e+08,
