elements,std::list,std::deque,std::vector,
10000,551781,485486,437297,
20000,2.16637e+06,1.92635e+06,1.74853e+06,
30000,4.98287e+06,4.32902e+06,3.91208e+06,
40000,9.07979e+06,7.71732e+06,6.98396e+06,
50000,1.40593e+07,1.21213e+07,1.09978e+07,
60000,2.05956e+07,1.75601e+07,1.59269e+07,
70000,2.89348e+07,2.3986e+07,2.18101e+07,
80000,3.82589e+07,3.14008e+07,2.82449e+07,
90000,4.9142e+07,3.99343e+07,3.54858e+07,
100000,6.15429e+07,4.94992e+07,4.35616e+07,
