elements,std::deque,std::vector,std::list,
10000,633671,453424,537075,
20000,2.55593e+06,1.91572e+06,2.14792e+06,
30000,5.7939e+06,4.27698e+06,4.9683e+06,
40000,1.03696e+07,7.65647e+06,9.01784e+06,
50000,1.63844e+07,1.20179e+07,1.42951e+07,
60000,2.41343e+07,1.74513e+07,2.11038e+07,
70000,3.35945e+07,2.38984e+07,2.96571e+07,
80000,4.36351e+07,3.15168e+07,4.55718e+07,
90000,5.38613e+07,4.28689e+07,5.91787e+07,
100000,6.69143e+07,5.3749e+07,7.57999e+07,
