elements,std::list,std::deque,std::vector,
10000,3.14029e+06,2.46674e+06,2.41132e+06,
20000,1.25193e+07,9.91434e+06,9.76984e+06,
30000,2.88977e+07,2.25459e+07,2.20068e+07,
40000,5.22532e+07,4.05208e+07,3.93773e+07,
50000,8.28359e+07,6.57885e+07,6.17327e+07,
60000,1.21557e+08,9.33317e+07,8.92769e+07,
70000,1.68905e+08,1.26891e+08,1.21771e+08,
80000,2.21094e+08,1.64519e+08,1.59006e+08,
90000,3.04554e+08,2.09903e+08,2.01691e+08,
100000,3.55e+08,2.59973e+08,2.49811e+08,
