elements,std::list,std::deque,std::vector,
10000,4845,4560,4622,
20000,9166,8787,9408,
30000,14736,14703,14274,
40000,19726,18865,20521,
50000,26027,24317,23288,
60000,31111,29262,28896,
70000,34969,35853,33518,
80000,42134,40532,40149,
90000,43309,43538,44620,
100000,51696,51275,49015,
