elements,std::list,std::deque,std::vector,
10000,495,592,453,
20000,1018,700,724,
30000,1252,1021,1175,
40000,1660,1404,1539,
50000,2377,1737,1966,
60000,2694,2112,2175,
70000,3082,2740,2424,
80000,4042,3301,2601,
90000,3815,3601,2827,
100000,4071,4555,3228,
