elements,std::list,std::deque,std::vector,
10000,2068,2087,2119,
20000,4392,3432,3669,
30000,7939,5549,5119,
40000,10588,7522,7349,
50000,12748,12604,9555,
60000,12914,16532,11483,
70000,16668,16713,12514,
80000,18383,15392,16252,
90000,17903,17938,22610,
100000,20426,18133,20684,
