elements,std::list,std::deque,std::vector,
10000,601,315,297,
20000,959,624,512,
30000,1398,1015,737,
40000,1554,1275,910,
50000,1715,1321,1144,
60000,2262,1692,1447,
70000,2684,1966,1729,
80000,2971,2248,1891,
90000,3672,2571,2028,
100000,4830,2461,2394,
