elements,std::list,std::deque,std::vector,
10000,1414,1537,1280,
20000,3098,2530,2453,
30000,4332,4316,3947,
40000,5995,5703,5241,
50000,6988,6279,6356,
60000,8993,7599,8206,
70000,10132,9417,9274,
80000,11145,9904,11250,
90000,12309,11059,12882,
100000,14459,12430,13729,
