elements,std::list,std::deque,std::vector,
10000,168493,182381,148772,
20000,309131,364458,332681,
30000,464740,538052,468871,
40000,673020,678668,658369,
50000,801761,851434,701665,
60000,971957,1.03014e+06,812024,
70000,1.1178e+06,1.25338e+06,989548,
80000,1.69939e+06,1.60948e+06,1.2734e+06,
90000,1.45134e+06,1.81263e+06,1.35577e+06,
100000,1.66587e+06,2.05758e+06,1.65588e+06,
