elements,std::list,std::deque,std::vector,
10000,157719,121961,127485,
20000,324801,233076,227379,
30000,421807,388535,384762,
40000,572023,495810,486818,
50000,723882,678103,651765,
60000,822900,831200,753334,
70000,995355,910505,821924,
80000,1.18484e+06,1.10663e+06,959890,
90000,1.23012e+06,1.22941e+06,1.06132e+06,
100000,1.42394e+06,1.37622e+06,1.28908e+06,
