elements,std::list,std::deque,std::vector,
10000,130405,96882,99098,
20000,240149,213666,195068,
30000,363987,285415,311348,
40000,485592,397944,387585,
50000,611348,507674,502112,
60000,723837,594001,592074,
70000,859956,699452,703010,
80000,987699,807734,787848,
90000,1.093e+06,899623,876652,
100000,1.22772e+06,1.01166e+06,997811,
