elements,std::list,std::deque,std::vector,
10000,311967,558676,415714,
20000,711751,1.47806e+06,1.1997e+06,
30000,1.32588e+06,2.53048e+06,2.30987e+06,
40000,1.82938e+06,3.39293e+06,3.17803e+06,
50000,2.35946e+06,4.21227e+06,4.34606e+06,
60000,2.78082e+06,5.0811e+06,5.24439e+06,
70000,3.30753e+06,5.96061e+06,6.02541e+06,
80000,3.6272e+06,6.8477e+06,6.9437e+06,
90000,4.39411e+06,7.80818e+06,7.98823e+06,
100000,4.71853e+06,8.02989e+06,8.83113e+06,
