elements,std::list,std::deque,std::vector,
1000,14848,12415,12098,
2000,53885,47370,45934,
3000,126862,105063,102164,
4000,215944,204921,174717,
5000,335632,299357,282202,
6000,474097,438217,402052,
7000,648042,589166,551168,
8000,842843,767820,715175,
9000,1.07713e+06,992116,900495,
10000,1.33806e+06,1.23776e+06,1.10678e+06,
