elements,std::list,std::deque,std::vector,
1000,13565,12780,12712,
2000,50572,45447,43318,
3000,114993,103031,98377,
4000,206901,184863,170853,
5000,319186,318141,254554,
6000,457944,419133,384300,
7000,620858,583952,514927,
8000,823004,799119,673726,
9000,1.05788e+06,981524,843376,
10000,1.29372e+06,1.25105e+06,1.03987e+06,
