elements,std::list,std::deque,std::vector,
1000,24784,25168,31935,
2000,98301,112132,129010,
3000,261413,241997,268860,
4000,431020,434450,539265,
5000,722246,675335,703854,
6000,1.07335e+06,1.0231e+06,1.0458e+06,
7000,1.42022e+06,1.54867e+06,1.3782e+06,
8000,1.94104e+06,2.16764e+06,1.99207e+06,
9000,2.51404e+06,2.92903e+06,2.21835e+06,
10000,3.01085e+06,3.68929e+06,3.0672e+06,
