elements,std::list,std::deque,std::vector,
1000,13407,11227,12907,
2000,46214,41892,43969,
3000,138382,85902,87549,
4000,255436,194325,151988,
5000,410803,293081,263465,
6000,445186,392124,392729,
7000,617872,602726,516195,
8000,865517,698264,766071,
9000,1.0095e+06,902569,906466,
10000,1.27942e+06,1.07761e+06,1.15141e+06,
