elements,std::list,std::deque,std::vector,
1000,52506,55137,55511,
2000,240607,240572,237726,
3000,530878,550073,524156,
4000,992995,1.02693e+06,1.00354e+06,
5000,1.69567e+06,1.75292e+06,1.73158e+06,
6000,2.84736e+06,2.9078e+06,2.77285e+06,
7000,4.34622e+06,4.41922e+06,4.25353e+06,
8000,6.15505e+06,6.2162e+06,6.03912e+06,
9000,8.1684e+06,8.26025e+06,7.94157e+06,
10000,1.04125e+07,1.06013e+07,1.01069e+07,
